"City","State"
"ADILABAD","TELANGANA"
"AGRA","UTTAR PRADESH"
"AHMADABAD","GUJARAT"
"AHMADNAGAR","MAHARASHTRA"
"AIZAWL","MIZORAM"
"AJMER","RAJASTHAN"
"AKOLA","MAHARASHTRA"
"ALAPPUZHA","KERALA"
"ALIGARH","UTTAR PRADESH"
"ALLAHABAD","UTTAR PRADESH"
"ALMORA","UTTARAKHAND"
"ALWAR","RAJASTHAN"
"AMBALA","HARYANA"
"AMRAVATI","MAHARASHTRA"
"AMRELI","GUJARAT"
"AMRITSAR","PUNJAB"
"ANAND","GUJARAT"
"ANANTAPUR","ANDHRA PRADESH"
"ANANTNAG","JAMMU AND KASHMIR"
"ANUGUL","ODISHA"
"ARARIA","BIHAR"
"ARIYALUR","TAMIL NADU"
"AURAIYA","UTTAR PRADESH"
"AURANGABAD","BIHAR"
"AZAMGARH","UTTAR PRADESH"
"BADGAM","JAMMU AND KASHMIR"
"BAGALKOT","KARNATAKA"
"BAGESHWAR","UTTARAKHAND"
"BAGHPAT","UTTAR PRADESH"
"BAHRAICH","UTTAR PRADESH"
"BALAGHAT","MADHYA PRADESH"
"BALANGIR","ODISHA"
"BALESHWAR","ODISHA"
"BALLIA","UTTAR PRADESH"
"BALRAMPUR","CHHATTISGARH"
"BANAS KANTHA","GUJARAT"
"BANDA","UTTAR PRADESH"
"BANGALORE","KARNATAKA"
"BANGALORE RURAL","KARNATAKA"
"BANKA","BIHAR"
"BANKURA","WEST BENGAL"
"BANSWARA","RAJASTHAN"
"BARAMULA","JAMMU AND KASHMIR"
"BARAN","RAJASTHAN"
"BARDDHAMAN","WEST BENGAL"
"BAREILLY","UTTAR PRADESH"
"BARGARH","ODISHA"
"BARMER","RAJASTHAN"
"BARPETA","ASSAM"
"BARWANI","MADHYA PRADESH"
"BASTAR","CHHATTISGARH"
"BASTI","UTTAR PRADESH"
"BATHINDA","PUNJAB"
"BAUDH","ODISHA"
"BEGUSARAI","BIHAR"
"BELGAUM","KARNATAKA"
"BELLARY","KARNATAKA"
"BETUL","MADHYA PRADESH"
"BHADRAK","ODISHA"
"BHAGALPUR","BIHAR"
"BHANDARA","MAHARASHTRA"
"BHARATPUR","RAJASTHAN"
"BHARUCH","GUJARAT"
"BHAVNAGAR","GUJARAT"
"BHILWARA","RAJASTHAN"
"BHIND","MADHYA PRADESH"
"BHIWANI","HARYANA"
"BHOJPUR","BIHAR"
"BHOPAL","MADHYA PRADESH"
"BID","MAHARASHTRA"
"BIDAR","KARNATAKA"
"BIJAPUR","CHHATTISGARH"
"BIJNOR","UTTAR PRADESH"
"BIKANER","RAJASTHAN"
"BILASPUR","CHHATTISGARH"
"BIRBHUM","WEST BENGAL"
"BISHNUPUR","MANIPUR"
"BOKARO","JHARKHAND"
"BONGAIGAON","ASSAM"
"BUDAUN","UTTAR PRADESH"
"BULANDSHAHR","UTTAR PRADESH"
"BULDANA","MAHARASHTRA"
"BUNDI","RAJASTHAN"
"BUXAR","BIHAR"
"CACHAR","ASSAM"
"CHAMARAJANAGAR","KARNATAKA"
"CHAMBA","HIMACHAL PRADESH"
"CHAMOLI","UTTARAKHAND"
"CHAMPAWAT","UTTARAKHAND"
"CHAMPHAI","MIZORAM"
"CHANDAULI","UTTAR PRADESH"
"CHANDEL","MANIPUR"
"CHANDIGARH","CHANDIGARH"
"CHANDRAPUR","MAHARASHTRA"
"CHANGLANG","ARUNACHAL PRADESH"
"CHATRA","JHARKHAND"
"CHENNAI","TAMIL NADU"
"CHHATARPUR","MADHYA PRADESH"
"CHHINDWARA","MADHYA PRADESH"
"CHIKMAGALUR","KARNATAKA"
"CHITRADURGA","KARNATAKA"
"CHITRAKOOT","UTTAR PRADESH"
"CHITTAURGARH","RAJASTHAN"
"CHITTOOR","ANDHRA PRADESH"
"CHURU","RAJASTHAN"
"COIMBATORE","TAMIL NADU"
"CUDDALORE","TAMIL NADU"
"CUTTACK","ODISHA"
"DAKSHIN DINAJPUR","WEST BENGAL"
"DAKSHINA KANNADA","KARNATAKA"
"DAMAN","DAMAN AND DIU"
"DAMOH","MADHYA PRADESH"
"DARBHANGA","BIHAR"
"DARJILING","WEST BENGAL"
"DARRANG","ASSAM"
"DATIA","MADHYA PRADESH"
"DAUSA","RAJASTHAN"
"DAVANAGERE","KARNATAKA"
"DEBAGARH","ODISHA"
"DEHRADUN","UTTARAKHAND"
"DEOGHAR","JHARKHAND"
"DEORIA","UTTAR PRADESH"
"DEWAS","MADHYA PRADESH"
"DHALAI","TRIPURA"
"DHAMTARI","CHHATTISGARH"
"DHANBAD","JHARKHAND"
"DHAR","MADHYA PRADESH"
"DHARMAPURI","TAMIL NADU"
"DHARWAD","KARNATAKA"
"DHAULPUR","RAJASTHAN"
"DHEMAJI","ASSAM"
"DHENKANAL","ODISHA"
"DHUBRI","ASSAM"
"DHULE","MAHARASHTRA"
"DIBANG VALLEY","ARUNACHAL PRADESH"
"DIBRUGARH","ASSAM"
"DIMAPUR","NAGALAND"
"DINDIGUL","TAMIL NADU"
"DINDORI","MADHYA PRADESH"
"DIU","DAMAN AND DIU"
"DODA","JAMMU AND KASHMIR"
"DOHAD","GUJARAT"
"DUMKA","JHARKHAND"
"DUNGARPUR","RAJASTHAN"
"DURG","CHHATTISGARH"
"EAST","NCT OF DELHI"
"EAST GARO HILLS","MEGHALAYA"
"EAST GODAVARI","ANDHRA PRADESH"
"EAST KAMENG","ARUNACHAL PRADESH"
"EAST KHASI HILLS","MEGHALAYA"
"EAST SIANG","ARUNACHAL PRADESH"
"ERNAKULAM","KERALA"
"ERODE","TAMIL NADU"
"ETAH","UTTAR PRADESH"
"ETAWAH","UTTAR PRADESH"
"FAIZABAD","UTTAR PRADESH"
"FARIDABAD","HARYANA"
"FARIDKOT","PUNJAB"
"FARRUKHABAD","UTTAR PRADESH"
"FATEHABAD","HARYANA"
"FATEHGARH SAHIB","PUNJAB"
"FATEHPUR","UTTAR PRADESH"
"FIROZABAD","UTTAR PRADESH"
"FIROZPUR","PUNJAB"
"GADAG","KARNATAKA"
"GADCHIROLI","MAHARASHTRA"
"GAJAPATI","ODISHA"
"GANDHINAGAR","GUJARAT"
"GANJAM","ODISHA"
"GARHWA","JHARKHAND"
"GARHWAL","UTTARAKHAND"
"GAUTAM BUDDHA NAGAR","UTTAR PRADESH"
"GAYA","BIHAR"
"GHAZIABAD","UTTAR PRADESH"
"GHAZIPUR","UTTAR PRADESH"
"GIRIDIH","JHARKHAND"
"GOALPARA","ASSAM"
"GODDA","JHARKHAND"
"GOLAGHAT","ASSAM"
"GONDA","UTTAR PRADESH"
"GONDIYA","MAHARASHTRA"
"GOPALGANJ","BIHAR"
"GORAKHPUR","UTTAR PRADESH"
"GULBARGA","KARNATAKA"
"GUMLA","JHARKHAND"
"GUNA","MADHYA PRADESH"
"GUNTUR","ANDHRA PRADESH"
"GURDASPUR","PUNJAB"
"GURGAON","HARYANA"
"GWALIOR","MADHYA PRADESH"
"HAILAKANDI","ASSAM"
"HAMIRPUR","HIMACHAL PRADESH"
"HANUMANGARH","RAJASTHAN"
"HAORA","WEST BENGAL"
"HARDA","MADHYA PRADESH"
"HARDOI","UTTAR PRADESH"
"HARDWAR","UTTARAKHAND"
"HASSAN","KARNATAKA"
"HATHRAS","UTTAR PRADESH"
"HAVERI","KARNATAKA"
"HINGOLI","MAHARASHTRA"
"HISAR","HARYANA"
"HOSHANGABAD","MADHYA PRADESH"
"HOSHIARPUR","PUNJAB"
"HUGLI","WEST BENGAL"
"HYDERABAD","TELANGANA"
"IDUKKI","KERALA"
"IMPHAL EAST","MANIPUR"
"IMPHAL WEST","MANIPUR"
"INDORE","MADHYA PRADESH"
"JABALPUR","MADHYA PRADESH"
"JAGATSINGHAPUR","ODISHA"
"JAINTIA HILLS","MEGHALAYA"
"JAIPUR","RAJASTHAN"
"JAISALMER","RAJASTHAN"
"JAJAPUR","ODISHA"
"JALANDHAR","PUNJAB"
"JALAUN","UTTAR PRADESH"
"JALGAON","MAHARASHTRA"
"JALNA","MAHARASHTRA"
"JALOR","RAJASTHAN"
"JALPAIGURI","WEST BENGAL"
"JAMMU","JAMMU AND KASHMIR"
"JAMNAGAR","GUJARAT"
"JAMUI","BIHAR"
"JASHPUR","CHHATTISGARH"
"JAUNPUR","UTTAR PRADESH"
"JEHANABAD","BIHAR"
